City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Norman Wells,CA,2021-10-23 03:03:43,65.282,-126.8329,36.3,87,71,11.79
67,Mount Isa,AU,2021-10-23 03:07:46,-20.7333,139.5,94.77,23,98,16.11
68,Hibbing,US,2021-10-23 03:08:18,47.4272,-92.9377,37.58,86,90,5.75
69,Sitka,US,2021-10-23 03:08:18,57.0531,-135.33,46.29,71,90,12.66
70,Kahramanmaras,TR,2021-10-23 03:08:19,38.0,37.0,38.03,51,0,2.04
71,Sobral,BR,2021-10-23 03:03:44,-3.6861,-40.3497,79.56,70,95,3.4
72,Pisco,PE,2021-10-23 03:03:45,-13.7,-76.2167,61.02,85,10,0.78
73,Atuona,PF,2021-10-23 03:03:45,-9.8,-139.0333,78.1,78,24,17.13
74,Ribeira Grande,PT,2021-10-23 03:08:20,38.5167,-28.7,68.47,84,27,15.19
75,Vila Franca Do Campo,PT,2021-10-23 03:03:42,37.7167,-25.4333,70.21,85,87,6.49
76,Hilo,US,2021-10-23 03:06:54,19.7297,-155.09,74.93,89,90,0.0
77,Torbay,CA,2021-10-23 03:08:21,47.6666,-52.7314,52.75,86,90,9.22
78,Keflavik,IS,2021-10-23 03:08:22,64.0049,-22.5624,46.53,93,90,13.8
79,Sorong,ID,2021-10-23 03:08:22,-0.8833,131.25,85.77,60,64,3.11
80,Mehamn,NO,2021-10-23 03:08:22,71.0357,27.8492,32.13,66,100,12.3
81,Longyearbyen,SJ,2021-10-23 03:06:58,78.2186,15.6401,22.84,80,40,0.0
82,Port Elizabeth,ZA,2021-10-23 03:06:56,-33.918,25.5701,64.09,75,55,8.14
83,Ponta Do Sol,PT,2021-10-23 03:03:47,32.6667,-17.1,68.63,65,29,8.41
84,Ahipara,NZ,2021-10-23 03:03:48,-35.1667,173.1667,60.75,94,100,19.08
85,Broome,US,2021-10-23 03:03:48,42.2506,-75.833,44.17,79,1,1.01
86,Gayny,RU,2021-10-23 03:08:23,60.3071,54.3241,39.6,87,96,11.43
87,Hualmay,PE,2021-10-23 03:08:24,-11.0964,-77.6139,62.47,84,41,9.35
88,Alice Springs,AU,2021-10-23 03:06:00,-23.7,133.8833,83.75,21,0,20.71
89,Zhigansk,RU,2021-10-23 03:08:24,66.7697,123.3711,19.62,95,93,5.46
90,Kodiak,US,2021-10-23 03:07:03,57.79,-152.4072,40.44,80,100,13.35
91,Laguna,US,2021-10-23 03:08:25,38.421,-121.4238,61.75,75,1,3.0
